ImageNumber,ObjectNumber,AreaShape_Area,Location_Center_X,Location_Center_Y
1,296,1902,1671.53312303,387.66298633
1,297,2179,769.938962827,394.178981184
1,298,1322,1621.80332829,389.497730711
1,299,1287,577.557109557,394.549339549
1,300,2300,680.915217391,395.86826087
1,301,1528,351.504581152,398.80039267
1,302,1381,1205.06227371,392.96813903
1,303,2395,1157.92066806,397.686847599
1,304,2699,506.332715821,397.131159689
1,305,1982,1866.70635721,404.301715439
1,306,1739,1260.96204715,410.854514089
1,307,1993,78.7561465128,400.78775715
1,308,1437,1008.14057063,401.395267919
1,309,850,1640.14235294,408.436470588
1,310,623,303.446227929,408.592295345
1,311,1696,155.678066038,406.129127358
1,312,1108,1312.68411552,402.948555957
1,313,1616,609.941831683,406.888613861
1,314,1806,1355.41306755,406.487264673
1,315,1637,273.229077581,415.025045816
1,316,1962,434.890927625,415.712028542
1,317,1810,36.0607734807,409.719337017
1,318,1873,1453.76134544,410.361986119
1,319,1462,194.04377565,414.744186047
1,320,1171,372.561912895,419.321947054
1,321,1797,1390.03672788,411.425709516
1,322,1570,1419.65732484,412.565605096
1,323,1140,1939.34385965,407.978070175
1,324,1846,888.292524377,418.345070423
1,325,2082,953.123439001,420.608549472
1,326,1632,1308.40931373,430.504289216
1,327,2001,1199.92953523,430.636681659
1,328,2749,1056.6740633,425.281920698
1,329,1740,469.96091954,432.697701149
1,330,2313,549.668828361,429.86381323
1,331,1720,996.393604651,435.668023256
1,332,1214,1658.38550247,428.18369028
1,333,2030,744.119704433,433.323152709
1,334,1362,1928.96255507,438.83773862
1,335,1708,94.6978922717,435.908079625
1,336,1514,123.392998679,445.732496697
1,337,1195,1955.93974895,445.794979079
1,338,1804,500.80654102,449.923503326
1,339,1372,176.028425656,445.087463557
1,340,1802,789.329078801,436.548279689
1,341,2036,605.485756385,447.538310413
1,342,1546,309.068564036,442.677231565
1,343,1446,46.8796680498,448.376210235
1,344,1664,837.237379808,446.880408654
1,345,1847,1648.15430428,457.413643747
1,346,1138,152.599297012,461.391915641
